geography,Household Deprivation: Household is not deprived in any dimension; measures: Value,Household Deprivation: Household is deprived in 1 dimension; measures: Value,Household Deprivation: Household is deprived in 2 dimensions; measures: Value,Household Deprivation: Household is deprived in 3 dimensions; measures: Value,Household Deprivation: Household is deprived in 4 dimensions; measures: Value
DN15 7,1228,1168,771,180,12
DN15 8,1988,1717,962,255,17
DN15 9,1848,1353,760,97,4
DN16 1,1202,1337,964,308,28
DN16 2,1312,1205,1086,261,18
DN16 3,2797,1855,1043,156,7
DN17 1,1963,1686,1098,291,31
DN17 2,1797,1654,1073,245,11
DN17 3,1398,1015,614,113,8
DN17 4,1170,886,517,101,5
DN18 5,1640,1247,794,168,11
DN18 6,509,440,252,54,2
DN19 7,1236,831,479,81,9
DN2  4,992,1163,771,244,16
DN2  5,1540,1117,705,127,12
DN2  6,1057,1129,875,299,26
DN20 0,1356,942,515,72,0
DN20 8,1247,978,602,125,5
DN20 9,1072,819,400,57,2
DN21 1,1803,1677,1220,352,19
DN21 2,1143,1032,726,237,7
DN21 3,1491,1073,445,79,2
DN21 4,1017,686,342,72,7
DN21 5,1189,902,429,72,0
DN22 0,861,583,332,44,1
DN22 6,1313,1189,634,171,12
DN22 7,2660,2275,1386,304,16
DN22 8,952,676,327,68,5
DN22 9,676,407,215,32,0
DN3  1,1688,1130,659,109,4
DN3  2,2188,1458,999,244,9
DN3  3,1734,1453,991,153,6
DN31 1,279,350,246,80,7
DN31 2,1025,1228,873,303,19
DN31 3,22,51,43,26,5
DN32 0,1267,877,514,101,6
DN32 7,503,1132,1249,598,56
DN32 8,1355,1243,784,195,12
DN32 9,1125,1208,891,285,36
DN33 1,588,982,886,369,25
DN33 2,1034,712,368,33,0
DN33 3,1446,971,621,108,3
DN34 4,1658,1230,673,123,0
DN34 5,1608,1607,1051,311,19
DN35 0,1787,1265,679,69,5
DN35 7,1721,1717,1104,380,46
DN35 8,1484,1233,847,237,21
DN35 9,935,941,783,159,8
DN36 4,2118,1557,919,111,4
DN36 5,1741,1116,573,85,8
DN37 0,1737,1032,540,79,0
DN37 7,736,465,220,44,2
DN37 8,64,60,34,10,0
DN37 9,1661,1355,924,235,17
DN38 6,633,388,195,29,5
DN39 6,553,402,230,43,1
DN4  0,1400,1588,1092,423,49
DN4  5,834,788,457,125,17
DN4  6,1968,1621,1157,228,17
DN4  7,1696,1098,435,67,3
DN4  8,1281,999,630,256,17
DN4  9,1737,1537,967,190,9
DN40 1,771,804,598,154,6
DN40 2,665,624,408,106,3
DN40 3,452,424,236,48,5
DN41 7,654,336,146,13,0
DN41 8,727,470,249,27,1
DN5  0,1195,1393,1148,404,41
DN5  7,1929,1173,510,51,3
DN5  8,1961,1500,925,157,13
DN5  9,1690,1499,1157,286,22
DN6  0,741,808,727,250,24
DN6  7,1319,1384,1150,348,22
DN6  8,1132,1182,1036,335,21
DN6  9,929,716,533,109,2
DN7  4,1159,1074,848,255,10
DN7  5,800,969,905,293,27
DN7  6,1300,1024,555,103,3
DN8  4,1235,1323,1101,328,29
DN8  5,1117,1010,872,248,13
DN9  1,1786,1110,626,92,7
DN9  2,1009,677,361,50,3
DN9  3,1360,783,343,68,2
DT1  1,1176,1000,639,146,16
DT1  2,2210,1446,658,125,14
DT1  3,568,315,110,24,2
DT10 1,1185,977,461,91,6
DT10 2,1157,869,371,59,3
DT11 0,1322,914,423,90,7
DT11 7,2007,1543,814,173,23
DT11 8,1497,918,327,55,3
DT11 9,991,623,331,54,8
DT2  0,789,546,211,42,3
DT2  7,1315,785,313,48,4
DT2  8,1634,1190,504,78,3
DT2  9,1701,1091,421,62,6
DT3  4,1105,837,433,72,8
DT3  5,1865,1322,568,126,9
DT3  6,1615,1366,650,125,11
DT4  0,2018,1802,1270,386,35
DT4  7,1360,1257,786,230,39
DT4  8,850,811,455,162,36
DT4  9,2319,1800,940,185,14
DT5  1,949,848,550,126,18
DT5  2,1105,921,524,125,9
DT6  3,1198,1110,583,128,19
DT6  4,1212,1059,462,62,3
DT6  5,1055,898,528,132,12
DT6  6,730,644,255,40,0
DT7  3,1232,928,416,63,4
DT8  3,1205,992,493,82,4
DT9  3,640,582,307,56,1
DT9  4,1221,846,338,67,8
DT9  5,1095,683,342,52,2
DT9  6,1433,963,419,73,3
DY1  1,87,123,126,46,7
DY1  2,2158,1824,1452,431,47
DY1  3,1448,1348,1094,375,35
DY1  4,705,710,627,176,13
DY10 1,1441,1046,572,148,22
DY10 2,1943,1537,988,284,17
DY10 3,1780,1510,1028,262,15
DY10 4,1536,1004,432,91,5
DY11 5,1797,1395,836,189,11
DY11 6,2278,1795,1163,314,20
DY11 7,1033,1080,762,253,24
DY12 1,953,729,477,96,7
DY12 2,1278,910,481,94,5
DY12 3,240,215,125,16,0
DY13 0,1070,1055,711,167,12
DY13 8,1596,1351,807,148,10
DY13 9,1245,906,575,130,10
DY14 0,331,245,132,21,0
DY14 8,720,479,286,44,2
DY14 9,537,405,223,41,4
DY2  0,1206,1443,1197,454,56
DY2  7,788,935,846,314,32
DY2  8,754,915,719,239,34
DY2  9,1107,1235,991,276,29
DY3  1,1383,1262,1033,261,21
DY3  2,1665,1652,1341,327,25
DY3  3,2091,1584,904,130,4
DY3  4,324,246,145,24,0
DY4  0,1492,1788,1640,512,44
DY4  7,1387,1304,977,302,34
DY4  8,1348,1417,1316,376,28
DY4  9,832,1021,964,325,25
DY5  1,758,831,781,246,26
DY5  2,2178,1890,1339,341,31
DY5  3,2050,1666,1108,341,50
DY5  4,1002,1262,971,277,33
DY6  0,743,528,342,74,8
DY6  7,841,535,293,54,6
DY6  8,1813,1439,970,223,17
DY6  9,1619,1266,632,61,3
DY7  5,420,280,142,22,2
DY7  6,1287,852,422,75,4
DY8  1,1007,766,529,172,19
DY8  2,1426,715,314,42,2
DY8  3,2491,1633,1050,230,23
DY8  4,2512,1799,1221,310,22
DY8  5,2302,1842,1061,215,20
DY9  0,2479,1419,500,48,2
DY9  7,769,698,578,150,7
DY9  8,677,704,563,237,30
DY9  9,1350,1055,763,167,8
E1   0,788,1356,1110,535,73
E1   1,705,1024,481,207,31
E1   2,666,1091,684,319,59
E1   3,667,913,666,334,58
E1   4,1277,1760,1220,629,85
E1   5,1044,1399,913,523,81
E1   6,709,819,296,106,28
E1   7,408,464,199,64,15
E1   8,731,761,348,155,19
E10  5,1456,2024,1317,483,80
E10  6,1941,2023,1245,387,38
E10  7,1145,1553,1130,426,65
E11  1,1968,1699,854,261,56
E11  2,2540,1522,718,163,17
E11  3,2145,2147,1392,477,64
E11  4,1703,2013,1256,432,59
E12  5,1556,1996,1419,491,89
E12  6,1508,2811,2073,777,89
E13  0,1357,2246,1764,719,102
E13  8,1082,1732,1371,547,84
E13  9,1071,1817,1244,473,58
E14  0,805,1284,956,490,82
E14  2,436,264,81,19,5
E14  3,3309,2392,1187,497,61
E14  4,150,110,19,1,1
E14  5,181,108,23,6,1
E14  6,959,1604,1307,588,99
E14  7,1215,1559,1151,542,87
E14  8,2384,1780,859,370,69
E14  9,2813,3246,923,252,51
E15  1,1394,2097,1264,406,49
E15  2,1294,1852,954,313,45
E15  3,1367,1890,1296,474,66
E15  4,1326,1773,1082,397,53
E16  1,1567,2050,991,339,42
E16  2,1295,1494,778,203,35
E16  3,1281,1837,1364,507,63
E16  4,788,1238,1021,445,55
E17  3,1327,1707,1220,475,89
E17  4,2285,1978,1252,391,48
E17  5,2122,2003,1479,555,72
E17  6,2245,2485,1386,450,53
E17  7,1424,1389,974,349,58
E17  8,1799,2064,1306,423,52
E17  9,1932,1621,1094,361,52
E18  1,1735,973,461,74,6
E18  2,2554,1667,807,189,17
E1W  1,796,397,122,34,4
E1W  2,1039,729,209,76,19
E1W  3,1138,890,385,178,32
E2   0,1413,1648,1021,420,68
E2   6,1143,1402,811,362,59
E2   7,1264,1257,859,433,71
E2   8,884,1326,711,329,60
E2   9,1171,1085,765,332,42
E3   2,1904,2398,1287,462,74
E3   3,1003,1426,899,448,67
E3   4,1486,1907,1293,632,104
E3   5,1803,1585,1095,492,63
E4   6,2618,2384,1516,417,46
E4   7,1907,1663,1049,232,11
E4   8,1917,1878,1287,319,27
E4   9,2621,2327,1338,346,35
E5   0,2115,2121,1725,670,87
E5   8,1940,2253,1640,733,117
E5   9,1378,2130,1552,658,109
E6   1,902,1879,1451,573,83
E6   2,1173,1938,1345,543,65
E6   3,1767,2441,1567,570,73
E6   5,1106,1467,1012,392,39
E6   6,955,1384,1084,424,47
E7   0,1476,1794,1139,408,50
E7   8,1175,2215,1617,560,87
E7   9,1437,2237,1422,492,71
E8   1,1265,1327,817,323,66
E8   2,1424,1569,936,373,58
E8   3,1560,1663,914,402,64
E8   4,1253,1666,1027,458,89
E9   5,1361,1749,1345,562,85
E9   6,1211,1746,1211,579,97
E9   7,2086,1893,1189,516,78
EC1A 4,5,80,20,0,1
EC1A 7,129,101,16,0,0
EC1A 9,71,138,16,2,0
EC1M 3,99,79,18,12,0
EC1M 5,282,208,31,4,0
EC1M 6,80,94,25,2,0
EC1M 7,23,45,24,4,0
EC1N 7,230,333,255,115,24
EC1N 8,83,143,63,12,1
EC1R 0,247,209,126,58,5
EC1R 1,240,143,91,28,4
EC1R 3,47,57,37,16,2
EC1R 4,303,255,118,56,16
EC1R 5,177,150,50,20,2
EC1V 0,259,389,262,83,13
EC1V 1,33,47,27,11,9
EC1V 2,40,18,0,2,0
EC1V 3,431,490,244,91,13
EC1V 4,210,319,116,28,11
EC1V 7,440,477,239,72,15
EC1V 8,224,290,184,91,12
EC1V 9,246,280,203,87,10
EC1Y 0,182,276,181,56,10
EC1Y 2,64,52,13,2,1
EC1Y 4,28,38,21,3,2
EC1Y 8,288,349,239,85,10
EC2A 3,100,157,28,3,2
EC2A 4,146,216,49,10,3
EC2Y 8,1020,709,144,18,2
EC3R 8,70,74,6,0,0
EC4A 1,33,63,13,1,0
EC4V 3,130,86,21,1,0
EC4V 5,73,59,15,0,0
EC4Y 7,124,76,16,3,0
EN1  1,1894,1629,886,304,35
EN1  2,1373,974,510,99,4
EN1  3,2088,1494,852,229,34
EN1  4,1535,1794,1303,454,87
EN10 6,1832,1566,793,217,29
EN10 7,1291,731,298,25,2
EN11 0,1036,876,484,112,12
EN11 8,1194,1078,662,141,25
EN11 9,1486,1069,468,76,3
EN2  0,1913,1189,707,235,29
EN2  6,825,628,315,73,9
EN2  7,1436,1016,462,81,11
EN2  8,1491,1030,514,102,21
EN2  9,309,210,89,15,3
EN3  4,1051,1621,1171,440,52
EN3  5,1514,2156,1491,510,79
EN3  6,2260,2703,1737,559,88
EN3  7,1016,1366,925,322,47
EN4  0,989,572,230,36,7
EN4  8,2262,1533,850,193,33
EN4  9,1495,1112,537,157,17
EN5  1,1395,905,343,101,14
EN5  2,2198,1752,1076,292,38
EN5  3,576,456,305,76,5
EN5  4,1252,634,249,54,7
EN5  5,1837,1201,608,143,24
EN6  1,1314,935,413,48,2
EN6  2,1254,1007,494,78,12
EN6  3,974,699,371,49,0
EN6  4,1124,676,261,31,1
EN6  5,903,763,367,90,2
EN7  5,1233,983,518,97,13
EN7  6,2500,1800,963,185,20
EN8  0,1404,1460,863,203,30
EN8  7,939,1078,754,218,32
EN8  8,1527,1578,1168,285,25
EN8  9,1270,1186,739,156,17
EN9  1,1220,1255,778,213,16
EN9  2,824,728,399,57,4
EN9  3,1772,1661,968,245,31
EX1  1,269,303,134,60,6
EX1  2,1758,1166,662,244,40
EX1  3,1892,1484,976,203,27
EX10 0,991,653,263,43,3
EX10 8,777,734,298,29,0
EX10 9,1840,1621,709,111,5
EX11 1,1638,1124,477,79,3
EX12 2,1303,1399,763,95,4
EX12 3,384,262,147,28,0
EX12 4,110,72,32,5,1
EX13 5,1295,1127,658,104,7
EX13 7,805,589,247,31,3
EX13 8,111,82,52,8,0
EX14 1,1070,970,676,117,21
EX14 2,1100,837,430,69,4
EX14 3,755,533,242,33,3
EX14 4,444,405,207,32,1
EX14 9,567,460,187,34,1
EX15 1,1606,1211,682,139,10
EX15 2,1174,820,336,55,1
EX15 3,1332,898,462,77,10
EX16 4,1135,910,430,81,8
EX16 5,753,728,529,143,12
EX16 6,1752,1398,798,236,27
EX16 7,875,592,249,42,3
EX16 8,708,576,293,55,0
EX16 9,689,517,227,48,2
EX17 1,470,312,143,21,1
EX17 2,433,328,198,41,6
EX17 3,822,646,320,93,11
EX17 4,609,457,187,24,3
EX17 5,657,421,209,27,5
EX17 6,760,632,309,54,1
EX18 7,584,501,237,56,1
EX19 8,646,598,293,49,4
EX2  4,1552,944,424,105,11
EX2  5,1663,1226,650,164,21
EX2  6,796,785,476,181,21
EX2  7,1140,600,327,98,9
EX2  8,1699,1078,545,144,19
EX2  9,1434,946,520,120,8
EX20 1,1413,1138,694,145,16
EX20 2,874,632,334,85,8
EX20 3,746,656,343,88,5
EX20 4,542,482,194,44,4
EX21 5,795,644,341,74,1
EX22 6,904,944,521,102,22
EX22 7,776,699,348,77,5
EX23 0,596,528,282,48,2
EX23 8,1279,1226,721,162,21
EX23 9,879,677,397,86,6
EX24 6,761,644,264,34,4
EX3  0,1223,793,341,47,3
EX31 1,669,607,392,84,15
EX31 2,1110,982,540,69,5
EX31 3,1583,1209,574,88,3
EX31 4,1297,898,386,76,5
EX32 0,1020,713,303,76,3
EX32 7,1091,1021,610,198,17
EX32 8,1037,943,605,165,19
EX32 9,1019,711,389,100,9
EX33 1,1115,784,450,67,4
EX33 2,988,651,352,42,8
EX34 0,449,431,248,62,3
EX34 7,337,266,94,16,2
EX34 8,1042,971,567,147,18
EX34 9,988,976,675,197,36
EX35 6,302,265,125,19,4
EX36 3,689,596,328,63,2
EX36 4,781,719,406,106,13
EX37 9,624,485,213,54,3
EX38 7,764,630,372,63,10
EX38 8,665,563,329,68,7
EX39 1,1824,1630,944,191,27
EX39 2,691,632,439,164,30
EX39 3,1594,1333,760,169,28
EX39 4,1211,989,546,157,14
EX39 5,1152,898,420,84,8
EX39 6,310,326,175,24,3
EX4  0,69,32,18,2,1
EX4  1,1536,1297,832,198,30
EX4  2,1541,1070,516,147,13
EX4  3,392,475,241,70,14
EX4  4,1285,1014,413,130,27
EX4  5,770,408,147,15,1
EX4  6,1274,888,328,103,16
EX4  7,931,675,398,101,11
EX4  8,920,897,560,138,16
EX4  9,627,585,300,96,15
EX5  1,774,528,222,21,1
EX5  2,1001,637,240,51,1
EX5  3,434,320,146,22,2
EX5  4,1031,723,335,77,3
EX5  5,615,407,180,30,2
EX6  6,496,465,246,46,4
EX6  7,863,568,216,46,2
EX6  8,1547,922,419,74,5
EX7  0,944,858,509,112,9
EX7  9,1133,1111,734,202,23
EX8  1,1344,1142,623,209,29
EX8  2,1397,1299,709,161,19
EX8  3,1025,905,463,78,1
EX8  4,1710,1453,837,127,10
EX8  5,1507,875,330,55,4
EX9  6,1128,932,392,54,5
EX9  7,377,223,97,21,3
FY1  1,28,46,56,20,11
FY1  2,796,1091,1037,585,119
FY1  3,432,636,653,328,71
FY1  4,671,950,872,414,104
FY1  5,678,856,787,390,74
FY1  6,945,1150,1035,499,91
FY2  0,2349,2174,1616,495,41
FY2  9,1587,1538,1018,261,52
FY3  0,357,258,117,31,4
FY3  7,1346,1512,1357,590,52
FY3  8,1567,1334,974,355,41
FY3  9,1900,1414,827,204,26
FY4  1,1123,1116,952,431,111
FY4  2,1301,1119,729,164,27
FY4  3,1463,1576,1193,375,29
FY4  4,1629,1820,1523,515,41
FY4  5,808,813,571,104,4
FY5  1,1152,1316,977,195,30
FY5  2,2061,1928,1308,186,7
FY5  3,1995,1687,1277,262,16
FY5  4,1559,1113,737,185,10
FY5  5,1027,831,494,52,3
FY6  0,1171,1159,802,108,4
FY6  7,2793,1875,942,119,6
FY6  8,1147,819,416,65,1
FY6  9,522,384,241,25,2
FY7  6,935,1056,898,349,66
FY7  7,1159,1202,1012,344,24
FY7  8,1306,1473,1056,277,16
FY8  1,1926,1516,880,281,54
FY8  2,1794,1492,822,194,33
FY8  3,1829,1707,1049,199,6
FY8  4,2422,1573,720,108,9
FY8  5,1505,887,345,77,6
GL1  1,238,403,243,129,32
GL1  2,596,688,458,137,20
GL1  3,1056,925,514,148,37
GL1  4,1407,1603,1162,378,57
GL1  5,1717,1381,819,243,31
GL10 2,1204,934,561,137,7
GL10 3,1529,888,462,77,1
GL11 4,1267,876,447,92,11
GL11 5,1796,1060,495,90,5
GL11 6,758,516,297,57,3
GL12 7,1374,851,380,68,7
GL12 8,1788,856,321,39,2
GL13 9,1212,758,428,80,1
GL14 1,740,485,238,33,8
GL14 2,1276,1166,887,217,27
GL14 3,648,567,328,77,5
GL15 4,913,705,381,72,2
GL15 5,1456,1252,839,172,6
GL15 6,1352,1034,520,76,7
GL16 7,1250,961,655,126,8
GL16 8,1049,955,598,133,11
GL17 0,856,580,294,67,2
GL17 9,1201,951,530,115,7
GL18 1,1166,884,441,80,4
GL18 2,324,168,101,20,1
GL19 3,1230,778,357,53,5
GL19 4,700,406,158,23,2
GL2  0,2495,1553,686,107,4
GL2  2,1033,443,186,56,4
GL2  3,107,70,23,3,0
GL2  4,3392,1998,913,148,11
GL2  5,572,512,376,122,9
GL2  7,993,537,255,48,0
GL2  8,831,427,156,23,4
GL2  9,1329,948,425,66,4
GL20 5,1291,1236,704,191,18
GL20 6,607,361,129,19,2
GL20 7,1861,788,334,41,1
GL20 8,2174,1527,677,106,10
GL3  1,1217,762,388,85,14
GL3  2,1663,1018,463,55,6
GL3  3,1742,1265,692,77,2
GL3  4,1723,1087,572,135,16
GL4  0,2157,1778,1073,200,16
GL4  3,701,431,178,36,1
GL4  4,1934,1324,712,170,15
GL4  5,2047,1053,370,44,3
GL4  6,1436,1469,1088,392,41
GL4  8,586,358,120,11,1
GL5  1,1647,1102,554,177,10
GL5  2,1030,628,264,71,12
GL5  3,1067,504,257,30,3
GL5  4,2023,1414,843,174,15
GL5  5,947,433,146,14,0
GL50 1,331,192,74,19,0
GL50 2,2456,1267,398,85,6
GL50 3,893,642,245,105,11
GL50 4,1646,1193,585,170,16
GL51 0,2198,1765,968,248,21
GL51 3,2424,1307,621,80,11
GL51 4,456,342,207,32,1
GL51 6,1747,1070,493,56,3
GL51 7,1043,923,614,209,25
GL51 8,1292,914,501,120,11
GL51 9,954,887,434,147,18
GL52 2,1255,831,335,105,20
GL52 3,1283,775,316,40,1
GL52 5,1575,1153,701,206,19
GL52 6,2422,1214,467,91,13
GL52 7,393,191,40,11,1
GL52 8,2065,1366,715,94,7
GL52 9,891,518,180,11,0
GL53 0,1106,513,156,16,1
GL53 7,1571,757,258,44,7
GL53 8,1265,628,238,47,4
GL53 9,974,537,204,17,2
GL54 1,643,507,231,26,3
GL54 2,1173,851,368,52,0
GL54 3,905,482,203,26,4
GL54 4,721,370,123,10,0
GL54 5,1686,1008,426,68,3
GL55 6,1237,833,319,59,3
GL56 0,1133,894,351,63,3
GL56 9,823,446,166,36,0
GL6  0,1407,809,420,72,2
GL6  6,986,584,193,21,2
GL6  7,947,524,152,15,1
GL6  8,1619,801,268,36,3
GL6  9,782,542,254,29,3
GL7  1,2869,2038,1076,207,20
GL7  2,1110,735,376,45,6
GL7  3,1087,682,293,36,4
GL7  4,920,610,257,35,0
GL7  5,1725,952,359,48,3
GL7  6,985,561,201,41,3
GL7  7,512,267,92,12,3
GL8  8,1937,1127,533,93,4
GL9  1,581,332,153,23,0
GU1  1,2050,1313,684,179,10
GU1  2,2126,1062,360,63,11
GU1  3,1262,674,199,42,8
GU1  4,1126,767,343,73,20
GU10 1,1041,572,263,56,3
GU10 2,671,311,92,9,1
GU10 3,1025,431,129,17,2
GU10 4,1615,741,213,31,4
GU10 5,886,408,131,23,0
GU11 1,952,915,457,160,24
GU11 2,611,332,107,24,5
GU11 3,2227,1640,902,255,35
GU12 4,2553,1935,934,251,23
GU12 5,1878,997,404,57,3
GU12 6,1824,1238,617,153,12
GU14 0,1721,958,412,77,15
GU14 6,1909,1275,605,148,18
GU14 7,1483,793,264,37,2
GU14 8,2581,2118,1081,304,23
GU14 9,3050,1832,805,140,13
GU15 1,2416,1067,257,20,2
GU15 2,2008,1114,453,76,5
GU15 3,1353,893,393,92,9
GU15 4,1300,924,555,127,12
GU16 6,2226,1219,490,70,7
GU16 7,358,269,135,35,4
GU16 8,1649,912,343,44,3
GU16 9,930,341,147,20,0
GU17 0,1343,922,344,36,4
GU17 9,841,479,191,25,4
GU18 5,1624,848,277,28,1
GU19 5,1250,722,290,66,4
GU2  4,804,345,103,35,1
GU2  7,1533,743,351,48,4
GU2  8,1244,1096,639,168,15
GU2  9,2698,1277,528,127,14
GU20 6,1125,462,167,26,2
GU21 2,2551,1339,520,120,8
GU21 3,2289,1493,690,154,12
GU21 4,2241,1014,389,72,7
GU21 5,1038,1063,713,230,32
GU21 6,503,401,133,45,3
GU21 7,502,261,113,25,2
GU21 8,771,604,275,60,7
GU22 0,1628,770,254,44,5
GU22 7,2129,1327,472,100,7
GU22 8,1859,1077,413,111,6
GU22 9,1539,923,478,125,6
GU23 6,893,469,144,23,3
GU23 7,602,344,173,21,2
GU24 0,1007,434,126,22,1
GU24 8,967,526,225,40,3
GU24 9,1869,820,274,32,3
GU25 4,1339,589,179,24,0
GU26 6,1686,952,290,47,2
GU27 1,1517,841,381,98,7
GU27 2,1317,548,212,43,2
GU27 3,1380,684,226,33,4
GU28 0,820,564,241,31,4
GU28 9,581,369,168,40,6
GU29 0,782,461,152,36,3
GU29 9,1233,1019,482,91,12
GU3  1,521,271,97,24,1
GU3  2,539,367,158,26,2
GU3  3,1323,788,323,42,6
GU30 7,2059,1177,479,67,1
GU31 4,1861,997,359,70,7
GU31 5,815,485,201,27,3
GU32 1,754,390,149,26,3
GU32 2,787,437,166,30,5
GU32 3,1020,685,363,105,21
GU33 6,472,191,89,16,2
GU33 7,1413,802,324,51,4
GU34 1,1367,932,451,124,8
GU34 2,2018,1412,662,134,15
GU34 3,630,285,106,18,3
GU34 4,921,432,127,19,1
GU34 5,1593,742,250,30,3
GU35 0,2116,1373,602,142,14
GU35 8,1287,690,271,41,2
GU35 9,1309,834,359,61,5
GU4  7,2655,1334,458,69,4
GU4  8,1250,606,242,39,6
GU46 6,2478,1308,561,67,3
GU46 7,758,476,142,37,3
GU47 0,2419,1245,476,72,3
GU47 8,1018,464,176,17,2
GU47 9,874,464,207,43,5
GU5  0,1625,795,305,43,4
GU5  9,1002,527,163,31,3
GU51 1,1365,377,84,11,2
GU51 2,698,283,60,12,2
GU51 3,2059,1032,440,59,3
GU51 4,938,501,196,14,1
GU51 5,708,398,153,25,1
GU52 0,683,244,60,5,0
GU52 6,1635,941,395,64,6
GU52 7,783,386,83,14,0
GU52 8,589,274,84,5,2
GU6  7,1818,1082,459,71,4
GU6  8,1295,816,342,47,5
GU7  1,2019,780,267,45,10
GU7  2,1627,701,238,58,2
GU7  3,1616,1135,618,141,11
GU8  4,1332,616,243,25,4
GU8  5,1811,895,413,52,2
GU8  6,851,482,199,33,1
GU9  0,1657,907,352,64,7
GU9  7,1170,714,327,77,8
GU9  8,2231,1129,467,91,6
GU9  9,1673,943,418,92,8
HA0  1,819,1248,797,253,28
HA0  2,1192,1645,1064,364,40
HA0  3,1325,1427,725,154,18
HA0  4,824,1478,1089,323,50
HA1  1,1195,1015,537,113,19
HA1  2,1145,1041,551,135,24
HA1  3,1810,1406,498,101,13
HA1  4,2129,1680,844,198,26
HA2  0,1518,1377,858,278,37
HA2  6,1275,1011,532,110,21
HA2  7,1343,896,346,53,3
HA2  8,1646,1655,947,224,29
HA2  9,1889,1773,1059,259,24
HA3  0,1535,1266,656,125,11
HA3  5,1104,1313,850,267,25
HA3  6,1262,1133,638,169,15
HA3  7,1423,1477,964,294,43
HA3  8,1490,1374,635,138,13
HA3  9,1484,1796,1197,317,20
HA4  0,1747,1185,525,110,11
HA4  6,1933,1441,731,122,9
HA4  7,2121,1334,591,123,12
HA4  8,1711,1099,447,93,14
HA4  9,2118,1297,644,91,2
HA5  1,1968,1025,340,41,2
HA5  2,1783,1186,585,122,8
HA5  3,2072,1385,644,156,21
HA5  4,1768,1070,434,66,4
HA5  5,1536,934,416,83,11
HA6  1,1678,1133,594,122,12
HA6  2,1796,989,386,79,17
HA6  3,1296,542,157,20,2
HA7  1,1006,902,542,135,14
HA7  2,1874,1255,642,155,11
HA7  3,1361,1026,547,122,20
HA7  4,1504,1067,675,198,19
HA8  0,1095,1418,1107,393,58
HA8  5,1286,1416,882,200,24
HA8  6,1399,1334,853,212,21
HA8  7,718,642,386,108,12
HA8  8,2113,1747,1024,281,41
HA8  9,1616,1414,857,255,35
HA9  0,275,502,206,82,24
HA9  6,891,1181,841,218,26
HA9  7,767,1117,753,224,39
HA9  8,1551,1629,896,219,40
HA9  9,1372,1518,924,339,45
HD1  1,32,81,42,20,3
HD1  3,549,893,722,329,35
HD1  4,1329,1227,839,277,38
HD1  5,374,479,271,91,13
HD1  6,217,424,386,183,35
HD2  1,2172,2244,1651,608,64
HD2  2,2400,1702,939,265,26
HD3  3,3269,2131,938,219,27
HD3  4,2649,2009,1336,422,44
HD4  5,1725,1678,1151,399,41
HD4  6,1863,1546,977,314,31
HD4  7,1493,1121,672,167,17
HD5  0,1132,698,344,57,5
HD5  8,2477,1993,1249,308,36
HD5  9,1793,1742,1278,398,47
HD6  1,508,475,273,71,16
HD6  2,1450,1126,639,201,13
HD6  3,2238,1749,999,314,28
HD6  4,1087,721,344,76,12
HD7  4,1781,1042,553,149,10
HD7  5,2000,1369,722,184,15
HD7  6,913,608,348,115,11
HD8  0,2355,1322,642,123,14
HD8  8,2852,1415,556,98,6
HD8  9,2183,1402,718,156,8
HD9  1,1669,925,387,85,5
HD9  2,1030,517,215,65,8
HD9  3,886,485,233,35,6
HD9  4,899,485,232,45,2
HD9  5,884,589,333,94,4
HD9  6,1435,793,437,85,3
HD9  7,1134,613,261,59,4
HG1  1,271,231,114,41,4
HG1  2,1762,1058,434,102,9
HG1  3,1682,998,421,65,3
HG1  4,2471,1692,1024,244,17
HG1  5,1440,891,425,127,11
HG2  0,2018,1167,463,76,6
HG2  7,2135,1574,824,186,22
HG2  8,2136,1024,311,35,1
HG2  9,1437,647,160,21,0
HG3  1,1307,636,185,26,0
HG3  2,2366,1580,583,91,3
HG3  3,1045,568,202,22,2
HG3  4,494,288,87,20,1
HG3  5,767,522,228,30,1
HG4  1,1510,1232,680,159,9
HG4  2,1705,1059,513,84,8
HG4  3,925,562,232,29,2
HG4  4,525,372,174,20,4
HG4  5,550,339,169,22,0
HG5  0,1858,1181,647,126,7
HG5  8,1193,671,248,39,6
HG5  9,1071,520,203,34,2
HP1  1,1774,1036,453,81,11
HP1  2,1582,1186,688,136,11
HP1  3,1488,1080,599,108,13
HP10 0,1233,699,276,60,3
HP10 8,1403,560,158,19,4
HP10 9,1700,1050,476,77,4
HP11 1,1597,973,455,87,20
HP11 2,793,742,337,81,21
HP12 3,1548,1552,916,274,25
HP12 4,1900,1333,754,147,20
HP13 5,2749,1637,699,149,21
HP13 6,1957,1422,666,174,21
HP13 7,3270,2405,1267,269,27
HP14 3,1950,1249,557,99,4
HP14 4,1934,888,291,32,2
HP15 6,1838,976,347,34,3
HP15 7,2055,1080,454,39,3
HP16 0,1597,831,295,33,3
HP16 9,1183,569,188,27,1
HP17 0,303,121,43,10,0
HP17 8,1945,974,370,56,0
HP17 9,203,117,35,5,0
HP18 0,1288,636,286,41,6
HP18 9,1695,852,364,46,2
HP19 0,641,262,78,20,1
HP19 7,1644,805,333,105,17
HP19 8,719,412,202,61,7
HP19 9,1611,1411,833,230,36
HP2  4,1852,1557,880,198,26
HP2  5,1956,1807,1228,309,46
HP2  6,1294,1093,641,189,16
HP2  7,1401,1039,452,126,18
HP20 1,1521,1034,489,106,10
