geography,Household Deprivation: Household is not deprived in any dimension; measures: Value,Household Deprivation: Household is deprived in 1 dimension; measures: Value,Household Deprivation: Household is deprived in 2 dimensions; measures: Value,Household Deprivation: Household is deprived in 3 dimensions; measures: Value,Household Deprivation: Household is deprived in 4 dimensions; measures: Value
B70  6,571,949,880,298,37
B70  7,242,420,444,135,12
B70  8,275,430,401,133,18
B70  9,536,909,990,346,31
B71  1,953,1027,941,273,34
B71  2,1024,1241,1302,394,39
B71  3,1218,1254,944,242,37
B71  4,433,570,437,137,12
B72  1,2069,1170,545,107,11
B73  5,2848,1692,915,178,24
B73  6,2037,1311,515,77,7
B74  2,2097,1362,538,73,4
B74  3,2355,1509,677,53,3
B74  4,2421,1554,723,92,7
B75  5,1787,969,487,59,7
B75  6,1935,1147,477,58,18
B75  7,1638,1332,836,219,12
B76  0,80,45,22,6,0
B76  1,2512,1572,758,69,9
B76  2,1437,842,423,87,12
B76  9,549,430,266,61,4
B77  1,2070,1349,737,169,9
B77  2,2232,1900,1239,328,25
B77  3,1471,1207,792,184,15
B77  4,2310,1816,1133,326,28
B77  5,1739,1091,581,112,10
B78  1,1670,1362,888,166,6
B78  2,782,608,347,75,3
B78  3,1792,1272,796,190,25
B79  0,575,425,218,26,3
B79  7,1101,971,775,169,13
B79  8,1666,1505,1071,215,20
B79  9,466,283,120,17,1
B8   1,456,898,901,449,66
B8   2,1012,1665,1457,578,56
B8   3,761,1516,1391,599,80
B80  7,1352,945,582,94,10
B9   4,438,529,379,184,26
B9   5,1196,2033,1884,758,80
B90  1,2377,1471,652,130,7
B90  2,2521,1611,992,144,4
B90  3,1968,1310,787,169,13
B90  4,2511,1423,630,108,5
B91  1,2485,1283,430,34,5
B91  2,2454,1548,854,141,18
B91  3,2529,1241,405,36,2
B92  0,904,480,261,37,1
B92  7,2430,1637,959,215,33
B92  8,2177,1674,1174,232,16
B92  9,1514,1221,629,106,8
B93  0,823,455,260,48,2
B93  8,1851,851,309,44,13
B93  9,2086,951,299,27,1
B94  5,800,527,201,22,3
B94  6,849,420,154,16,1
B95  5,903,601,259,46,3
B95  6,331,296,174,23,0
B96  6,1123,737,305,44,6
B97  4,993,828,500,120,12
B97  5,3441,2216,1127,208,17
B97  6,1762,1294,817,259,30
